date Mon Aug 15 09:21:53 am 2005
base dec  timestamps relative
internal events logged
   0.020000000    EnvSpeedEntry := 1230
   0.010000000    EnvSpeedEntry := 1210
   0.040000000    EnvSpeedEntry := 1190
   0.030000000    EnvSpeedEntry := 1170
   0.020000000    EnvSpeedEntry := 1150
   0.020000000    EnvSpeedEntry := 1140
   0.030000000    EnvSpeedEntry := 1100
   0.020000000    EnvSpeedEntry := 1080
   0.010000000    EnvSpeedEntry := 1060
   0.040000000    EnvSpeedEntry := 1050
   0.020000000    EnvSpeedEntry := 1030
   0.010000000    EnvSpeedEntry := 1010
   0.020000000    EnvSpeedEntry := 970
   0.020000000    EnvSpeedEntry := 940
   0.010000000    EnvSpeedEntry := 900
   0.020000000    EnvSpeedEntry := 870
   0.042648250    EnvSpeedEntry := 850
   0.007351750    EnvSpeedEntry := 850
   2.970000000    EnvTurnSignal := 0
   1.400000000    EnvSpeedEntry := 850
   0.022556250    EnvSpeedEntry := 870
   0.007443750    EnvSpeedEntry := 880
   0.020000000    EnvSpeedEntry := 900
   0.020000000    EnvSpeedEntry := 920
   0.020000000    EnvSpeedEntry := 940
   0.010000000    EnvSpeedEntry := 970
   0.022549250    EnvSpeedEntry := 1010
   0.017450750    EnvSpeedEntry := 1030
   0.010000000    EnvSpeedEntry := 1050
   0.020000000    EnvSpeedEntry := 1080
   0.020000000    EnvSpeedEntry := 1100
   0.020000000    EnvSpeedEntry := 1120
   0.020000000    EnvSpeedEntry := 1140
   0.010000000    EnvSpeedEntry := 1150
   0.020000000    EnvSpeedEntry := 1170
   0.010000000    EnvSpeedEntry := 1190
   0.060000000    EnvSpeedEntry := 1210
   0.030000000    EnvSpeedEntry := 1230
   0.030000000    EnvSpeedEntry := 1240
   0.040000000    EnvSpeedEntry := 1260
   0.030000000    EnvSpeedEntry := 1280
   0.020000000    EnvSpeedEntry := 1300
   0.020000000    EnvSpeedEntry := 1320
   0.010000000    EnvSpeedEntry := 1350
   0.020000000    EnvSpeedEntry := 1410
   0.020000000    EnvSpeedEntry := 1480
   0.010000000    EnvSpeedEntry := 1530
   0.020000000    EnvSpeedEntry := 1570
   0.020000000    EnvSpeedEntry := 1620
   0.022538250    EnvSpeedEntry := 1660
   0.007461750    EnvSpeedEntry := 1700
   0.020000000    EnvSpeedEntry := 1710
   0.020000000    EnvSpeedEntry := 1750
   0.010988750    EnvSpeedEntry := 1770
   0.049011250    EnvSpeedEntry := 1800
   0.020000000    EnvSpeedEntry := 1840
   0.020000000    EnvSpeedEntry := 1860
   0.020000000    EnvSpeedEntry := 1890
   0.010000000    EnvSpeedEntry := 1950
   0.030000000    EnvSpeedEntry := 2000
   0.010000000    EnvSpeedEntry := 2040
   0.020000000    EnvSpeedEntry := 2060
   0.010000000    EnvSpeedEntry := 2090
   0.020000000    EnvSpeedEntry := 2110
   0.020000000    EnvSpeedEntry := 2130
   0.030000000    EnvSpeedEntry := 2150
   0.020000000    EnvSpeedEntry := 2160
   0.020000000    EnvSpeedEntry := 2180
   0.010000000    EnvSpeedEntry := 2200
   0.040000000    EnvSpeedEntry := 2220
   0.010000000    EnvSpeedEntry := 2240
   0.020000000    EnvSpeedEntry := 2260
   0.020000000    EnvSpeedEntry := 2270
   0.030000000    EnvSpeedEntry := 2290
   0.040000000    EnvSpeedEntry := 2310
   0.030000000    EnvSpeedEntry := 2330
   0.020000000    EnvSpeedEntry := 2350
   0.050000000    EnvSpeedEntry := 2360
   0.020000000    EnvSpeedEntry := 2380
   0.010988750    EnvSpeedEntry := 2400
   0.019011250    EnvSpeedEntry := 2420
   0.040000000    EnvSpeedEntry := 2440
   0.010000000    EnvSpeedEntry := 2450
   0.020000000    EnvSpeedEntry := 2490
   0.030000000    EnvSpeedEntry := 2510
   0.030000000    EnvSpeedEntry := 2530
   0.010000000    EnvSpeedEntry := 2560
   0.030000000    EnvSpeedEntry := 2580
