date Thu Apr 15 11:36:03 am 2010
base dec  timestamps relative
internal events logged
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.135602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.140602
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.145602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.150602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.155602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.159602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.164602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.174602
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.178602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.188602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.193602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.202602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.207602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.212602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.217602
   0.330000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.221602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.226602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.231602
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.236602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.245602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.250602
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.255602
   0.440000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.250602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.245602
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.241602
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.236602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.231602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.226602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.221602
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.207602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.198602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.188602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.178602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.169602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.159602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.145602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.135602
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.126602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.112602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.102602
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0936018
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0836018
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0736018
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0696018
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0596018
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0546018
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0506018
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0456018
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0406018
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0356018
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0266018
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0216018
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.0116018
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = 0.00760184
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.00739816
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0123982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0163982
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0213982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0263982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0313982
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0353982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0403982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0453982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0503982
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0553982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0593982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0643982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0693982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0743982
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0783982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0833982
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0883982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0933982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.0973982
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.102398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.107398
   0.110000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.112398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.117398
   0.000000    SV: 1 0 0 ::ModelStimuli::Driver_Steer = -0.121398
